attributes,count
Sundress,0
Nightdress,0
Cape,0
Shirtdress,0
Halter,17
Coverup,17
Sarong,32
Jodhpurs,45
Gauchos,49
Caftan,54
Onesie,70
Capris,77
Peacoat,97
Kaftan,126
Turtleneck,146
Robe,150
Anorak,160
Bomber,309
Flannel,324
Button-Down,330
Trunks,386
Culottes,486
Chinos,527
Jeggings,594
Parka,676
Henley,716
Jersey,748
Poncho,791
Sweatshorts,1106
Cutoffs,1669
Coat,2120
Kimono,2294
Sweatpants,3048
Hoodie,4048
Joggers,4416
Leggings,5013
Jumpsuit,6153
Jeans,7076
Romper,7408
Blazer,7495
Top,10078
Jacket,10467
Sweater,13123
Cardigan,13311
Skirt,14773
Tank,15429
Shorts,19666
Blouse,24557
Tee,36887
Dress,72158
